Underlying,Date,T,r,E,Pobs,volatility,Delta,Vega,Gamma
0.33794,2023-09-11,0.26587301587301587,0.0005,0.345,0.0165,0.18068041918557098,-0.569036937413415,0.06847283008955533,12.481124848223558
0.33177,2023-09-12,0.2619047619047619,0.0005,0.345,0.01975,0.17415472051435651,-0.652728446745968,0.06270935813895724,12.490490247711055
0.33606,2023-09-13,0.25793650793650796,0.0005,0.345,0.01736,0.1799247810130784,-0.5949181942885973,0.06615355683001269,12.621639009690051
0.3387,2023-09-14,0.25396825396825395,0.0005,0.345,0.015609999999999999,0.17799512025344577,-0.563240448561349,0.06723759096281948,12.965647855519766
0.33022,2023-09-15,0.25,0.0005,0.345,0.020370000000000003,0.17138780554309915,-0.6796229079593856,0.059074230768840066,12.643619054722826
0.32906,2023-09-18,0.23809523809523808,0.0005,0.345,0.02186,0.18778684887398714,-0.6805136610958993,0.05738111141220321,11.852306808335413
0.32865,2023-09-19,0.23412698412698413,0.0005,0.345,0.0211,0.17068567312141697,-0.7071750829580372,0.0546808919672306,12.6683419338958
0.32077,2023-09-20,0.23015873015873015,0.0005,0.345,0.0258,0.14068300248107315,-0.8516380684825098,0.035618409450015036,10.690990716485326
0.31953,2023-09-21,0.2261904761904762,0.0005,0.345,0.027399999999999997,0.15710142469921626,-0.8383215214551634,0.0372280949274106,10.261080515984606
0.31701,2023-09-22,0.2222222222222222,0.0005,0.345,0.0304,0.1824571155791909,-0.8262438435263859,0.03834775280311556,9.41121518860579
0.31754000000000004,2023-09-25,0.21031746031746032,0.0005,0.345,0.030719999999999997,0.20655096545208917,-0.7959156326626043,0.04126573390413704,9.420850985265236
0.31214,2023-09-26,0.20634920634920634,0.0005,0.345,0.034570000000000004,0.19066963830948158,-0.8667444515721809,0.030511763380766124,7.959469265201334
0.31279,2023-09-27,0.20238095238095238,0.0005,0.345,0.03339,0.17114714426632247,-0.8912462932702838,0.026243578964235088,7.744226546510349
0.31364,2023-09-28,0.1984126984126984,0.0005,0.345,0.03214,0.1524060081024134,-0.9144029548392667,0.021853834730064525,7.346715335914405
0.31575,2023-09-29,0.19444444444444445,0.0005,0.345,0.02995,0.141909214337778,-0.9166573492448888,0.021347945384676197,7.760026953266847
0.31339,2023-10-03,0.17857142857142858,0.0005,0.345,0.03418,0.22639365253731694,-0.8303875602855386,0.03346323397829287,8.42793974562925
0.31936000000000003,2023-10-05,0.17063492063492064,0.0005,0.345,0.02828,0.20233742114878364,-0.8108795213565401,0.03569677490453733,10.137335413267182
0.32726,2023-10-06,0.16666666666666666,0.0005,0.345,0.0206,0.16707335741471457,-0.7699339485425436,0.040574915993277005,13.605541381258599
0.32982,2023-10-09,0.15476190476190477,0.0005,0.345,0.020149999999999998,0.2068177835163087,-0.6954720735941582,0.045417557339488525,13.044212127371667
0.32838999999999996,2023-10-10,0.15079365079365079,0.0005,0.345,0.020399999999999998,0.1918247354810439,-0.7337354622688395,0.041869612028508266,13.422438583251907
0.33116,2023-10-12,0.14285714285714285,0.0005,0.345,0.01945,0.2201036931126904,-0.6735356680699269,0.04513211916668807,13.08822308232697
0.32773,2023-10-13,0.1388888888888889,0.0005,0.345,0.020649999999999998,0.1938513895554637,-0.7497682598945121,0.03883159926194365,13.42815851037589
0.33264,2023-10-16,0.12698412698412698,0.0005,0.345,0.016390000000000002,0.1847009231619959,-0.6986207694624151,0.041299398686234876,15.913887398411962
0.33206,2023-10-17,0.12301587301587301,0.0005,0.345,0.01765,0.20857942571636465,-0.6862126184746966,0.04130461486664348,14.599326776908587
0.33011,2023-10-18,0.11904761904761904,0.0005,0.345,0.01975,0.23072030374770258,-0.696254898076603,0.039823157978854634,13.304905882191651
0.33132,2023-10-19,0.11507936507936507,0.0005,0.345,0.01835,0.22041263932805572,-0.6925029836277271,0.039511679205993355,14.190452019770298
0.32667,2023-10-20,0.1111111111111111,0.0005,0.345,0.02089,0.19919873501609095,-0.7847003356942084,0.03184232752421775,13.48162470607532
0.32932,2023-10-23,0.0992063492063492,0.0005,0.345,0.019629999999999998,0.23357579686246333,-0.7240093414566652,0.03467173944077327,13.796601162736115
0.33053,2023-10-24,0.09523809523809523,0.0005,0.345,0.01846,0.22962138231187246,-0.7151674164428908,0.03462062943653918,14.490726656505887
0.34067000000000003,2023-10-25,0.09126984126984126,0.0005,0.345,0.01085,0.20642052679001294,-0.567738201591443,0.04046562823453897,18.507098182257028
0.32788999999999996,2023-10-26,0.0873015873015873,0.0005,0.345,0.0181,0.1535651310238529,-0.8637674654546545,0.02116606470834868,14.68483331698313
0.32981,2023-10-27,0.08333333333333333,0.0005,0.345,0.01795,0.21218094077403876,-0.759228686654791,0.029649374643795207,15.415683105398605
0.33731,2023-10-30,0.07142857142857142,0.0005,0.345,0.0116,0.19554672249187618,-0.6570820276732499,0.03313930502055504,20.85270779528129
0.33811,2023-10-31,0.06746031746031746,0.0005,0.345,0.0112,0.2048169998778136,-0.63757343081365,0.0329298606064674,20.84776389367307
0.34607,2023-11-01,0.06349206349206349,0.0005,0.345,0.00605,0.18935535212367072,-0.4643727173189439,0.03464952716351045,24.06425271542352
0.34832,2023-11-02,0.05952380952380952,0.0005,0.345,0.0045899999999999995,0.1811417159762854,-0.4053675118759634,0.03294431745624544,25.183407617261523
